circuit_id,circuit_type,scheme,poly_modulus_degree,coeff_mod_bits,scale_bits,base,multiplicative_depth,operations_count,rotation_count,vector_size,cpu_cores,cpu_freq_ghz,memory_gb,memory_bandwidth_gb_s,cache_mb,has_gpu,sum_coeff_bits,num_primes,runtime_s,memory_mb,final_noise_budget,success,security_bits
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.040398597717285156,6.0,62.934566152138316,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.040372371673583984,6.0,61.97279348073973,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.0403139591217041,6.0,63.11325988311163,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04000043869018555,6.0,62.93819827586742,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.03999948501586914,6.0,62.38782913672755,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.0410003662109375,6.0,62.8525349464936,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04023623466491699,6.0,62.096704761482485,1,192
c1,dot,CKKS,16384,"[20, 40, 40, 40, 40, 30]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,210,6,0.04199814796447754,6.0,61.10575644688858,1,192
c1,dot,CKKS,16384,"[20, 40, 40, 40, 40, 30]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,210,6,0.04100537300109863,6.0,60.312200613329885,1,192
c1,dot,CKKS,16384,"[20, 40, 40, 40, 40, 30]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,210,6,0.03999447822570801,6.0,60.623699504476875,1,192
c1,dot,CKKS,16384,"[20, 40, 40, 40, 40, 30]",20,3,4,250,8,4096,8,3.2,16,25.0,16,0,210,6,0.0410006046295166,6.0,61.662493336620564,1,192
